,x,y,s,R
284,28.5,0,0.1,10000
285,28.6,0,0.1,10000
286,28.7,0,0.1,10000
287,28.8,0,0.1,10000
288,28.9,0,0.1,10000
289,29,0,0.1,10000
290,29.1,0,0.1,10000
291,29.2,0,0.1,10000
292,29.3,0,0.1,10000
293,29.4,0,0.1,10000
294,29.5,0,0.1,10000
295,29.6,0,0.1,10000
296,29.7,0,0.1,10000
297,29.8,0,0.1,10000
298,29.9,0,0.1,10000
299,30,0,0.1,10000
300,30.1,0,0.1,10000
301,30.2,0,0.1,10000
302,30.3,0,0.1,10000
303,30.4,0,0.1,10000
304,30.5,0,0.1,10000
305,30.6,0,0.1,10000
306,30.7,0,0.1,10000
307,30.8,0,0.1,10000
308,30.9,0,0.1,10000
309,31,0,0.1,10000
310,31.1,0,0.1,10000
311,31.2,0,0.1,10000
312,31.3,0,0.1,10000
313,31.4,0,0.1,10000
314,31.5,0,0.1,10000
315,31.6,0,0.1,10000
316,31.7,0,0.1,10000
317,31.8,0,0.1,10000
318,31.9,0,0.1,10000
319,32,0,0.1,10000
320,32.1,0,0.1,10000
321,32.2,0,0.1,10000
322,32.3,0,0.1,10000
323,32.4,0,0.1,10000
324,32.5,0,0.1,10000
325,32.6,0,0.1,10000
326,32.7,0,0.1,10000
327,32.8,0,0.1,10000
328,32.9,0,0.1,10000
329,33,0,0.1,10000
330,33.1,0,0.1,10000
331,33.2,0,0.1,10000
332,33.3,0,0.1,10000
333,33.4,0,0.1,10000
334,33.5,0,0.1,10000
335,33.6,0,0.1,10000
336,33.7,0,0.1,10000
337,33.8,0,0.1,10000
338,33.9,0,0.1,10000
339,34,0,0.1,10000
340,34.1,0,0.1,10000
341,34.2,0,0.1,10000
342,34.3,0,0.1,10000
343,34.4,0,0.1,10000
344,34.5,0,0.1,10000
345,34.6,0,0.1,10000
346,34.7,0,0.1,10000
347,34.8,0,0.1,10000
348,34.9,0,0.1,10000
349,35,0,0.1,10000
350,35.1,0,0.1,10000
351,35.2,0,0.1,10000
352,35.3,0,0.1,10000
353,35.4,0,0.1,10000
354,35.5,0,0.1,10000
355,35.6,0,0.1,10000
356,35.7,0,0.1,10000
357,35.8,0,0.1,10000
358,35.9,0,0.1,10000
359,36,0,0.1,10000
360,36.1,0,0.1,10000
361,36.2,0,0.1,10000
362,36.3,0,0.1,10000
363,36.4,0,0.1,10000
364,36.5,0,0.1,10000
365,36.6,0,0.1,10000
366,36.7,0,0.1,10000
367,36.8,0,0.1,10000
368,36.9,0,0.1,10000
369,37,0,0.1,10000
370,37.1,0,0.1,10000
371,37.2,0,0.1,10000
372,37.3,0,0.1,10000
373,37.4,0,0.1,10000
374,37.5,0,0.1,10000
375,37.6,0,0.1,10000
376,37.7,0,0.1,10000
377,37.8,0,0.1,10000
378,37.9,0,0.1,10000
379,38,0,0.1,10000
380,38.1,0,0.1,10000
381,38.2,0,0.1,10000
382,38.3,0,0.1,10000
383,38.4,0,0.1,10000
384,38.5,0,0.1,10000
385,38.6,0,0.1,10000
386,38.7,0,0.1,10000
387,38.8,0,0.1,10000
388,38.9,0,0.1,10000
389,39,0,0.1,10000
390,39.1,0,0.1,10000
391,39.2,0,0.1,10000
392,39.3,0,0.1,10000
393,39.4,0,0.1,10000
394,39.5,0,0.1,10000
395,39.6,0,0.1,10000
396,39.7,0,0.1,10000
397,39.8,0,0.1,10000
398,39.9,0,0.1,10000
399,40,0,0.1,10000
400,40.1,0,0.1,10000
401,40.2,0,0.1,10000
402,40.3,0,0.1,10000
403,40.4,0,0.1,10000
404,40.5,0,0.1,10000
405,40.6,0,0.1,10000
406,40.7,0,0.1,10000
407,40.8,0,0.1,10000
408,40.9,0,0.1,10000
409,41,0,0.1,10000
410,41.1,0,0.1,10000
411,41.2,0,0.1,10000
412,41.3,0,0.1,10000
413,41.4,0,0.1,10000
414,41.5,0,0.1,10000
415,41.6,0,0.1,10000
416,41.7,0,0.1,10000
417,41.8,0,0.1,10000
418,41.9,0,0.1,10000
419,42,0,0.1,10000
420,42.1,0,0.1,10000
421,42.2,0,0.1,10000
422,42.3,0,0.1,10000
423,42.4,0,0.1,10000
424,42.5,0,0.1,10000
425,42.6,0,0.1,10000
426,42.7,0,0.1,10000
427,42.8,0,0.1,10000
428,42.9,0,0.1,10000
429,43,0,0.1,10000
430,43.1,0,0.1,10000
431,43.2,0,0.1,10000
432,43.3,0,0.1,10000
433,43.4,0,0.1,10000
434,43.5,0,0.1,10000
435,43.6,0,0.1,10000
436,43.7,0,0.1,10000
437,43.8,0,0.1,10000
438,43.9,0,0.1,10000
439,44,0,0.1,10000
440,44.1,0,0.1,10000
441,44.2,0,0.1,10000
442,44.3,0,0.1,10000
443,44.4,0,0.1,10000
444,44.5,0,0.1,10000
445,44.6,0,0.1,10000
446,44.7,0,0.1,10000
447,44.8,0,0.1,10000
448,44.9,0,0.1,10000
449,45,0,0.1,10000
450,45.1,0,0.1,10000
451,45.2,0,0.1,10000
452,45.3,0,0.1,10000
453,45.4,0,0.1,10000
454,45.5,0,0.1,10000
455,45.6,0,0.1,10000
456,45.7,0,0.1,10000
457,45.8,0,0.1,10000
458,45.9,0,0.1,10000
459,46,0,0.1,10000
460,46.1,0,0.1,10000
461,46.2,0,0.1,10000
462,46.3,0,0.1,10000
463,46.4,0,0.1,10000
464,46.5,0,0.1,10000
465,46.6,0,0.1,10000
466,46.7,0,0.1,10000
467,46.8,0,0.1,10000
468,46.9,0,0.1,10000
469,47,0,0.1,10000
470,47.1,0,0.1,10000
471,47.2,0,0.1,10000
472,47.3,0,0.1,10000
473,47.4,0,0.1,10000
474,47.5,0,0.1,10000
475,47.6,0,0.1,10000
476,47.7,0,0.1,10000
477,47.8,0,0.1,10000
478,47.9,0,0.1,10000
479,48,0,0.1,10000
480,48.1,0,0.1,10000
481,48.2,0,0.1,10000
482,48.3,0,0.1,10000
483,48.4,0,0.1,10000
484,48.5,0,0.1,10000
485,48.6,0,0.1,10000
486,48.7,0,0.1,10000
487,48.8,0,0.1,10000
488,48.9,0,0.1,10000
489,49,0,0.1,10000
490,49.1,0,0.1,10000
491,49.2,0,0.1,10000
492,49.3,0,0.1,10000
493,49.4,0,0.1,10000
494,49.5,0,0.1,10000
495,49.6,0,0.1,10000
496,49.7,0,0.1,10000
497,49.8,0,0.1,10000
498,49.9,0,0.1,10000
499,50,0,0.1,10000
500,50.1,0,0.1,10000
501,50.2,0,0.1,10000
502,50.3,0,0.1,10000
503,50.4,0,0.1,10000
504,50.5,0,0.1,10000
505,50.6,0,0.1,10000
506,50.7,0,0.1,10000
507,50.8,0,0.1,10000
508,50.9,0,0.1,10000
509,51,0,0.1,10000
510,51.1,0,0.1,10000
511,51.2,0,0.1,10000
512,51.3,0,0.1,10000
513,51.4,0,0.1,10000
514,51.5,0,0.1,10000
515,51.6,0,0.1,10000
516,51.7,0,0.1,10000
517,51.8,0,0.1,10000
518,51.9,0,0.1,10000
519,52,0,0.1,10000
520,52.1,0,0.1,10000
521,52.2,0,0.1,10000
522,52.3,0,0.1,10000
523,52.4,0,0.1,10000
524,52.5,0,0.1,10000
525,52.6,0,0.1,10000
526,52.7,0,0.1,10000
527,52.8,0,0.1,10000
528,52.9,0,0.1,10000
